"id_estado_municipio","estado","descripcion_estado","municipio","descripcion_municipio"
48412063,12,"GUERRERO",63,"TLACOAPA"
48412064,12,"GUERRERO",64,"TLALCHAPA"
48412065,12,"GUERRERO",65,"TLALIXTAQUILLA DE MALDONADO"
48412066,12,"GUERRERO",66,"TLAPA DE COMONFORT"
48412067,12,"GUERRERO",67,"TLAPEHUALA"
48412068,12,"GUERRERO",68,"LA UNIÓN DE ISIDORO MONTES DE OCA"
48412069,12,"GUERRERO",69,"XALPATLÁHUAC"
48412070,12,"GUERRERO",70,"XOCHIHUEHUETLÁN"
48412071,12,"GUERRERO",71,"XOCHISTLAHUACA"
48412072,12,"GUERRERO",72,"ZAPOTITLÁN TABLAS"
48412073,12,"GUERRERO",73,"ZIRÁNDARO"
